Entry format

Num AJB_ID Author [and author [and …]] [ed.|comp.], Title, Place, Publisher, year, description, price, review [and review [and …]], comments

AJB_ID   volume.section[(subsection)].entry, for example 68.144(1).25 would be volume 68, section 144, subsection 1, and entry number 25.

Commas are field separators for automatic parsing.  Use the word ‘comma’ if you want the character in field string. We will use global search and replace after parsing into fields.

Save as Unicode UTF-8 text encoding. Skip section 2 in Part 1

For volume AJB 45 Index to the Literature of 1943-1946 Part 1, started 6 Sept 2015, finished, proofread


1 45.03(0).12  W. Blaschke, Galileo und Kepler, , , 1943, 14 pp, 2 RM, AN 274 144 : and Himmelswelt 54 24 : B. Sticker and VJS 78 202 : B. Myermann and ZfMG 28 99 :, other Hamburger Mathematische Einzelschriften 39; other a mathematical monograph; 

2 45.03(0).17  M. W. Burke-Gaffney, Kepler and the Jesuits, Milwaukee WI, The Bruce Publishing Co., 1944, 138 pp, $2.00, J Can RAS 38 341 :  and Sky Tel. 4 Nr. 7 17 : F. J. Heyden, 

3 45.03(0).18  M. Caspar, Kopernikus und Kepler; Johannes Keplers wissenschaftliche und philosophische Stellung, München-Berlin, R. Oldenbourg, 1943, 77 pp, 1.80 RM, Himmelswelt 53 72 : B. Sticker and VJS 78 207 : A. Kkopff and Weltall 43 160 : R. Sommer and ZfMG 28 99 :, other two lectures pp 1-45 und pp 47-77; 

4 45.03(0).27  J. E. Ford, David Rittenhouse, Philadelpia, University of Pennsylvania Press, 1946, 7+226 pp, $2.50, ApJ 104 330 : R. K. Marshall and J Can RAS 40 265 :, 

5 45.03(0).30  H. G. Garbedian, Albert Einstein comma Make of the Universe, New York, Funk & Wagnalls Company, 1939, 328 pp, $3.75, The Sky 4 Nr. 5 17 : M. Lockworth, 

6 45.03(0).31  N. Günther, Ernst Abbe; Der Schöpfer der Zeiss-Stiftung, Stuttgart, Wissenshaftliche Verlagsgesellschaft, 1946, 211 pp, 4.80 RM, Optik 2 162 : W. Finkelnburg, 

7 45.03(0).33  Z. de Harsanyi, The Star Gazer; A Novel of the life of Galileo, New York, G. P. Putnam's Sons, 1939, 572 pp, $2.75, The Sky 5 Nr. 1 20 : S. M. Lockwood, 

8 45.03(0).34  K. Hildebrandt, Kopernikus und Kepler in der deutschen Geistesgeschichte, Halle, , 1944, 13 pp, 1 RM, , 

9 45.03(0).39  H. S. Jones, Copernicus, , Press Board of the University of Wales, 1943, 20 pp, , , other published on behalf of the University of South Wales & Monmouthshire; other The Selby Lecture; 

10 45.03(0).51  F. Kubach, Nikolaus Kopernikus — Bildnis eines großen Deutschen, München-Berlin, R. Oldenbourg, 1943, 10+378 pp, 10.50 RM, Z f die gesamte Naturwissenshaft 10 33 : E. May, 

11 45.03(0).52  L. Kühle, Punkt im All; Nikolaus Kopernikus comma Künder eines neuen Weltbildes, Berlin, , 1944, 160 pp, 1.65 RM, , 

12 45.03(0).53  G. C. Lichtenberg, Nikolaus Kopernikus, Königsberg, , 1943, 46 pp, 2.00 RM, , edited by G. v. Selle;

13 45.03(0).54  G. Loria, Galileo Galilei, Prag, Verlag Orbis, 1943, 141 pp, , RH 24 147 :, translated from Italian;in Czech;

14 45.03(0).69  S. P. Mizwa, Nicholas Copernicus 1543—1943, New York, The Kosciuszko Foundation, 1943, 88 pp, $0.75, ApJ 97 276 : O. Stuve and Sky Tel. 2 Nr. 6 18 : D. Hoffleit, 

15 45.03(0).70  S. P. Mizwa, Nicholas Copernicus — A Tribute of Nations, New York, The Kosciuszko Foundation, 1945, 19+268 pp, $5.00, J Can RAS 39 194 :, 

16 45.03(0).73  N. V. E. Nordenmark, Frederik Mallet och Daniel Malanderhjelm comma tva Uppsalla-Astronomer, Upsalla, Kgl. Svenska Vetenskapsakad., 1946, 256 pp, , , 

17 45.03(0).74  G. Paola, Galileo Galilei; I Tempi — l'uomo — il pensatore, Torino, , 1943, 250 pp, 25 Lire, , 

18 45.03(0).75  W. E. Peuckert, Nikolaus Kopernikus comma der die Erde kreisen ließ, Leipzig, P. List, 1943, 352 pp, 5.80 RM, Weltall 43 147 : R. Sommer, 

19 45.03(0).80  R. Ramsauer, Nicolaus Coppernicus; Wandler des Welbinden, Berlin, Dr. G. Lüttke Verlag, 1943, 77 pp, 5.40 RM, AN 274 144 : and Weltall 43 170 : R. Sommer, 

