Entry format

Num AJB_ID Author [and author [and …]] [ed.|comp.], Title, Place, Publisher, year, description, price, review [and review [and …]], comments

AJB_ID   volume.section[(subsection)].entry, for example 68.144(1).25 would be volume 68, section 144, subsection 1, and entry number 25.

Commas are field separators for automatic parsing.  Use the word ‘comma’ if you want the character in field string. We will use global search and replace after parsing into fields.

Save as Unicode UTF-8 text encoding. Skip section 4 in Part 1

For volume AJB 57 Index to the Literature of 1957, started 19 Mar 2013, finished, proofread


1 57.01(0).03 H. Athen, Nomographie comma Schriftenreihe zur Mathematik Heft 6, Frankfurt am Main-Pinneberg, Otto Salle Verlag, 1956, 2+56 pp, DM 4.80, Math. Rev. 19 687, 

2 57.01(0).10 F. Kießler, Nomographisches Rechnen, Essen, Verlag Girardet, 1956, 190 pp, DM 9.80, Österreich Z. Vermessungswesen 45 187, 

3 57.02(0).33 D. R. Hartree, The Calculation of Atomic Structure, New York, John Wiley & Sons Inc., 1957, 13+181 pp, $5.00, Ann d'Astrophys 20 141 and Obs 78 88, also published London: Chapman & Hall;

4 57.02(0).73 A. B. Pippard, The Elements of Classical Thermodynamics, Cambridge, University Press, 1957, 7+165 pp, 15s, Proc. Phys. Soc. 72 485, 

5 57.02(1).119 T. G Cowling, Magnetohydrodynamics, New York-London, Interscience Publishers Inc., 1957, 8+115 pp, $2.25, J. appl. Phys. 28 637 and Nature 180 935, 

6 57.03(0).01 A. W. Lebedew and R. M. Fedorowa, Reference Book on Mathematical Tables, Moskau, Verlag Akad. Wiss. UdSSR, 1956, 46+552 pp, 29.20R., Math. Rev. 18 828, 

7 57.03(0).02 L. S. Tschrenow, Fünfstellige Tafeln der trignometrischen Funktionen mit Argument in Zeit, Moskau, Staatsverlag für Techn.-Theoretische Literatur, 1954, 172 pp, 7R. 70 Kop., Math. Tables and Other Aids to Computation 11 206, 2nd edition;in Russian;

8 57.03(0).03 H. Wittke, Ultragon—Fünfstellige Tafeln für: Sinus- Cosinus- Tangens- Cotangens für Maschinenrechnen, Hamburg, Hanseatische Verlagsanstalt GmbH., 1957, 240 pp, DM 39.50, Össterreich. Z. Vermessungswesen 46 28, 

9 57.03(0).04 , Interpolation and Allied Tables, , , , , , JBAA 68 114, reference AJB 56.03.08;

10 57.03(1).06 A. D. Booth and K. H. V. Booth, Automatic Digital Calculators, , , , , , Rev. Sci. Instruments 28 43, reference AJB 56.03.11;

11 57.03(1).07 G. F. Forbes, Digital Differential Analysis: An Applications Manual for Digital and Bush Type Differential Analyzers, Pacoima CA., G. F. Forbes, 1957, 14+154+38 pp, $5.00, J. British Interplanetary Society 16 387, 4th edition;other self published; 

12 57.03(1).10 D. D. McDracken, Digital Computer Programming, New York, John Wiley & Sons, 1957, 7+253 pp, , , also published London: Chapman & Hall Ltd.;

13 57.05(0).01 G. Abetti, Le stelle e i pianeti, , , , , , Obs 78 36, reference AJB 56.05.01;

14 57.05(0).02 C. W. Allen, Astrophysical Quantities, , , , , , RJ 1957 Nr. 8 32, reference AJB 55.05.02;

15 57.05(0).03 R. M Aller, Introducción a la Astronomia, Madrid, Consejo Superior de Investigaciones Cientificas, 1957, 613 pp, , BSAF 72 88 and Urania Barcelona 42 264, 2nd edition;

16 57.05(0).04 K. L Bajew and W. A. Schischakow, Einfürung in die Astronomie, , , , , , , other Auch in weiteren Landessprachen der UdSSR erschienen; reference AJB 55.05.06;

17 57.05(0).05 R. H. Baker, An Instroduction to Astronomy, New York-London-Toronto, D. Van Nostrand Ltd., 1957, 8+333 pp, $4.85, J. appl. Phys. 28 825 and Sky Tel. 16 387 and Sky Tel. 17 195, 5th edition;

18 57.05(0).06 L. Barnett, Ce monde où nous vivons, Paris, Hachette, 1957, 312 pp, ffrs 4900, La Nature 85 501, reprint of AJB 56.05.10;translated  by M. Levi-Strauss;

19 57.05(0).07 W. P. Batjuk, Astronomiestunden in der zehnten Klasse, Kiew, <<Rad Schkola>>, 1957, 117 pp, 1R. 75 Kop., , 

20 57.05(0).08 H. P. Berlage, Het onstaan van het zonnestelsel, Haarlem, Volks-universiteit Biblioteck Bohn, 1956, 208 pp, hfl. 3.90, Hemel en Dampkring 55 218, 

21 57.05(0).09 K. Bocke, Cosmic View: The Universe in 40 Jumps, New York, The John Day Company, 1958, 48 pp, $3.25, Sky Tel. 17 197 and Sky Tel. 17 363, 

