9|1|1268|
10|1|1099|
11|4|1100|
12|4|1101|
13|5|1103|
14|4|1104|
15|4|1107|
16|4|1108|
17|4|1112|
18|4|1116|
19|4|1117|
20|2|1118|
21|2|1119|
22|1|1122|
23|1|1124|
24|2|1125|
25|2|1126|
26|3|1127|
27|4|1128|
28|3|1129|
29|5|1132|
30|2|1133|
31|1|1134|
32|4|1135|
33|3|1137|
34|1|1141|
35|1|1142|
36|1|1143|
37|1|1144|
39|4|1146|
40|5|1147|
41|1|1148|
42|1|1149|
43|2|1150|
44|4|1151|
45|1|1151|
46|1|1154|
47|3|1155|
48|1|1157|
49|1|1158|
50|4|1159|
51|3|1160|
52|1|1163|
54|3|1169|
55|3|1170|
56|1|1171|
57|1|1173|
58|4|1175|
59|3|1177|
60|1|1180|
61|4|1182|
62|1|1185|
63|1|1186|
64|1|1187|
65|4|1188|
66|3|1189|
67|3|1190|
68|5|1191|
69|3|1192|
70|1|1194|
71|1|1196|
72|4|1200|
73|1|1201|
74|1|1202|
75|2|1204|
76|2|1206|
77|2|1207|
78|2|1208|
79|3|1210|
80|4|1213|
81|3|1214|
82|3|1213|
83|3|1223|
84|4|1227|
85|3|1227|
86|1|1228|
88|1|1229|
89|1|1231|
90|1|1233|
91|4|1234|
92|1|1235|
93|1|1236|
94|5|1239|
95|4|1240|
96|3|1244|
97|2|1247|
98|2|1249|
99|4|1252|
100|3|1253|
101|1|1254|
102|4|1261|
103|4|1262|
104|3|1262|
105|4|1264|
106|3|1264|
107|4|1265|
108|3|1266|
110|2|1271|
111|5|1280|
112|5|1281|
113|5|1282|
114|3|1284|
115|3|1285|
116|3|1286|
117|3|1287|
118|3|1288|
119|1|1289|
120|5|1291|
121|11|1132|
122|11|1282|
123|11|1241|
124|11|1292|
125|11|1293|
126|5|1294|
127|4|1214|
128|2|1218|
129|5|1298|
130|1|1299|
131|1|1300|
132|2|1301|
133|1|1304|
134|1|1305|
135|1|1306|
136|3|1308|
137|3|1309|
138|1|1311|
139|11|1312|
140|1|1329|
141|1|1330|
142|2|1332|
143|3|1341|
144|4|1343|
145|4|1344|
146|4|1345|
147|2|1341|
148|4|1346|
149|4|1347|
150|4|1348|
151|3|1349|
152|3|1355|
153|2|1356|
154|5|1357|
155|11|1354|
156|11|1358|
157|1|1360|
158|4|1363|
159|3|1365|
160|4|1368|
161|1|1369|
162|2|1370|
163|11|1371|
164|4|1372|
165|4|1374|
166|4|1376|
167|4|1378|
168|1|1379|
169|3|1383|
170|5|1386|
171|1|1387|
172|3|1388|
173|11|1389|
174|11|1390|
175|11|1391|
176|11|1392|
177|1|1393|
178|1|1394|
179|4|1396|
180|4|1397|
181|4|1398|
182|4|1399|
183|4|1400|
184|1|1400|
185|1|1401|
186|4|1402|
187|5|1406|
188|1|1407|
189|4|1401|
190|4|1408|
191|4|1215|
192|4|1217|
193|4|1351|
194|12|1106|
195|12|1298|
196|12|1291|
197|12|1114|
198|12|1115|
199|12|1382|
200|12|1113|
201|12|1120|
202|12|1290|
203|12|1381|
204|12|1126|
205|12|1280|
206|12|1140|
209|12|1154|
210|12|1162|
211|12|1168|
212|12|1313|
213|12|1178|
214|12|1174|
215|12|1176|
216|12|1181|
217|12|1198|
218|12|1197|
219|12|1199|
220|12|1201|
221|12|1203|
222|12|1205|
223|12|1386|
224|12|1211|
225|12|1212|
226|12|1219|
227|12|1218|
228|12|1301|
229|12|1221|
230|12|1220|
231|12|1222|
232|12|1278|
233|12|1314|
234|12|1237|
235|12|1375|
236|12|1241|
237|12|1242|
238|12|1243|
239|12|1311|
240|12|1373|
241|12|1245|
242|12|1246|
243|12|1250|
244|12|1337|
245|12|1259|
246|12|1263|
247|12|1267|
248|12|1230|
249|4|1209|
250|1|1409|
251|1|1412|
252|4|1416|
253|5|1417|
254|2|1420|
255|2|1421|
256|3|1422|
257|3|1424|
258|12|1276|
259|14|1428|
260|14|1429|
261|2|1431|
262|3|1432|
263|2|1433|
264|3|1434|
265|3|1437|
266|1|1438|
267|14|1439|
268|4|1441|
269|12|1442|
270|12|1443|
271|12|1444|
272|4|1445|
273|12|1446|
274|14|1447|
275|12|1448|
276|3|1455|
277|3|1456|
278|3|1457|
279|2|1458|
280|4|1460|
281|3|1463|
282|13|1464|
283|11|1467|
284|2|1468|
285|2|1470|
286|3|1471|
287|4|1472|
288|4|1473|
289|4|1474|
290|1|1475|
291|3|1476|
292|2|1477|
293|4|1478|
294|3|1478|
295|2|1479|
296|11|1480|
297|3|1481|
298|12|1482|
299|12|1484|
300|12|1485|
301|4|1486|
302|2|1486|
303|4|1487|
304|4|1490|
305|4|1491|
306|2|1492|
307|2|1493|
308|2|1494|
309|2|1495|
310|3|1496|
311|3|1497|
312|2|1498|
313|2|1499|
314|14|1499|
315|2|1500|
316|2|1501|
317|11|1501|
318|3|1506|
319|3|1507|
320|4|1510|
321|11|1516|
322|12|1517|
323|12|1518|
324|2|1520|
325|12|1521|
326|2|1522|
327|11|1523|
328|11|1525|
329|4|1526|
330|2|1528|
331|3|1532|
332|3|1534|
333|3|1535|
334|4|1537|
335|12|1538|
336|12|1539|
337|12|1540|
338|12|1541|
339|12|1542|
340|4|1543|
341|2|1544|
342|2|1545|
343|4|1546|
344|4|1548|
345|2|1550|
346|2|1552|
347|12|1557|
348|12|1558|
349|12|1559|
350|12|1562|
351|5|1562|
352|4|1563|
353|12|1565|
354|4|1566|
355|12|1567|
356|12|1568|
357|12|1569|
358|12|1570|
359|13|1574|
360|2|1575|
361|14|1576|
362|4|1577|
